system:index,class,.geo
53,2,"{""type"":""Point"",""coordinates"":[-83.72498148175637,43.1369251930284]}"
54,2,"{""type"":""Point"",""coordinates"":[-82.27204916622289,43.015279241399966]}"
55,2,"{""type"":""Point"",""coordinates"":[-83.09170795793533,42.88363764603034]}"
56,2,"{""type"":""Point"",""coordinates"":[-83.36825933854995,42.93906195587081]}"
57,2,"{""type"":""Point"",""coordinates"":[-83.50434666909663,42.83359161261613]}"
58,2,"{""type"":""Point"",""coordinates"":[-83.55015283705283,42.97605023238464]}"
59,2,"{""type"":""Point"",""coordinates"":[-81.99508341604171,42.73041900945005]}"
60,2,"{""type"":""Point"",""coordinates"":[-82.81266493912233,42.134133330708565]}"
61,2,"{""type"":""Point"",""coordinates"":[-84.87796567970959,42.07096105403621]}"
62,2,"{""type"":""Point"",""coordinates"":[-85.98670396358028,42.25471818211512]}"
63,2,"{""type"":""Point"",""coordinates"":[-85.47993341372947,43.07060291989458]}"
64,2,"{""type"":""Point"",""coordinates"":[-86.20770462033822,43.643118211491824]}"
65,2,"{""type"":""Point"",""coordinates"":[-85.75311443986585,42.97722542316511]}"
66,2,"{""type"":""Point"",""coordinates"":[-85.4314553009683,43.35484301810355]}"
67,2,"{""type"":""Point"",""coordinates"":[-85.68707967822681,43.72327824194266]}"
68,2,"{""type"":""Point"",""coordinates"":[-82.54585635225789,43.02250153509212]}"
69,2,"{""type"":""Point"",""coordinates"":[-83.63313455476732,41.899381644170916]}"
70,2,"{""type"":""Point"",""coordinates"":[-86.35994157725831,42.11467171012697]}"
71,2,"{""type"":""Point"",""coordinates"":[-84.25144298738415,41.63086453419926]}"
72,2,"{""type"":""Point"",""coordinates"":[-84.46567638582165,41.38610595730746]}"
73,2,"{""type"":""Point"",""coordinates"":[-84.72248180574353,41.824931926477234]}"
74,2,"{""type"":""Point"",""coordinates"":[-83.83931447384579,41.30870083884476]}"
75,2,"{""type"":""Point"",""coordinates"":[-83.21959495762407,41.1889121046486]}"
76,2,"{""type"":""Point"",""coordinates"":[-86.15215368979804,41.28370099494152]}"
77,2,"{""type"":""Point"",""coordinates"":[-87.0817021951068,41.39498122915924]}"
78,2,"{""type"":""Point"",""coordinates"":[-86.4896372067413,41.609889213284134]}"
79,2,"{""type"":""Point"",""coordinates"":[-85.72821129486267,42.023300456169004]}"
80,2,"{""type"":""Point"",""coordinates"":[-85.3631339102808,41.04036301486347]}"
81,2,"{""type"":""Point"",""coordinates"":[-85.00412703859091,44.111544261212856]}"
82,2,"{""type"":""Point"",""coordinates"":[-85.67000365018652,44.11277631611258]}"
83,2,"{""type"":""Point"",""coordinates"":[-82.62253605018134,41.09352941089929]}"
84,2,"{""type"":""Point"",""coordinates"":[-81.83058937771047,42.52423796558954]}"
85,2,"{""type"":""Point"",""coordinates"":[-81.6518191193992,42.90345347332752]}"
86,2,"{""type"":""Point"",""coordinates"":[-81.53096951002422,42.71808303086369]}"
87,2,"{""type"":""Point"",""coordinates"":[-85.95123882044388,44.71979141673516]}"
88,2,"{""type"":""Point"",""coordinates"":[-85.79846962858993,44.519892991778256]}"
89,2,"{""type"":""Point"",""coordinates"":[-85.13332906618952,44.50558178403323]}"
90,2,"{""type"":""Point"",""coordinates"":[-85.24901520617036,44.69632974427431]}"
91,2,"{""type"":""Point"",""coordinates"":[-84.55001007921723,44.72707176639108]}"
92,2,"{""type"":""Point"",""coordinates"":[-84.08083370996185,44.59927605385033]}"
93,2,"{""type"":""Point"",""coordinates"":[-83.73698139733857,44.41342021892816]}"
94,2,"{""type"":""Point"",""coordinates"":[-83.77288696476121,44.2015120247501]}"
95,2,"{""type"":""Point"",""coordinates"":[-84.24343395789205,44.34258227609467]}"
96,2,"{""type"":""Point"",""coordinates"":[-88.06192753092424,43.98343434167335]}"
97,2,"{""type"":""Point"",""coordinates"":[-88.86496964146426,43.66895069975018]}"
98,2,"{""type"":""Point"",""coordinates"":[-88.4392494266205,43.409691793397606]}"
99,2,"{""type"":""Point"",""coordinates"":[-88.99004297937941,44.5697727558081]}"
100,2,"{""type"":""Point"",""coordinates"":[-88.81975489344191,44.44931398927666]}"
101,2,"{""type"":""Point"",""coordinates"":[-89.05571353264108,43.88883887644612]}"
102,2,"{""type"":""Point"",""coordinates"":[-88.74790179244427,42.96414357278482]}"
103,2,"{""type"":""Point"",""coordinates"":[-89.10770403853802,42.57999802430503]}"
104,2,"{""type"":""Point"",""coordinates"":[-88.0220773074915,42.71464445860282]}"
105,2,"{""type"":""Point"",""coordinates"":[-88.58458758447443,41.71005017817401]}"
106,2,"{""type"":""Point"",""coordinates"":[-87.60789603423174,41.08561462820797]}"
107,2,"{""type"":""Point"",""coordinates"":[-88.54735807602098,40.383035061121504]}"
108,2,"{""type"":""Point"",""coordinates"":[-86.54190961056588,40.29874380561774]}"
109,2,"{""type"":""Point"",""coordinates"":[-85.12335984836726,40.38875886522576]}"
110,2,"{""type"":""Point"",""coordinates"":[-82.38675534053708,40.407379909102346]}"
111,2,"{""type"":""Point"",""coordinates"":[-81.6887141086866,40.388590427854886]}"
112,2,"{""type"":""Point"",""coordinates"":[-80.7916266162095,43.50120914430269]}"
113,2,"{""type"":""Point"",""coordinates"":[-80.74742994822621,43.03413144454312]}"
114,2,"{""type"":""Point"",""coordinates"":[-80.96269900243695,43.94004908246953]}"
115,2,"{""type"":""Point"",""coordinates"":[-85.51487589600738,44.47602977177191]}"
116,2,"{""type"":""Point"",""coordinates"":[-85.09430772299318,43.77972628867784]}"
117,2,"{""type"":""Point"",""coordinates"":[-95.14857628781913,46.01945506683856]}"
118,2,"{""type"":""Point"",""coordinates"":[-90.75268343610858,45.67810745970018]}"
119,2,"{""type"":""Point"",""coordinates"":[-89.38327921254492,45.191429422803076]}"
120,2,"{""type"":""Point"",""coordinates"":[-89.47876785302252,44.80882736891453]}"
121,2,"{""type"":""Point"",""coordinates"":[-87.9297553228375,45.6660725916135]}"
122,2,"{""type"":""Point"",""coordinates"":[-87.50384305956233,45.81501223306285]}"
123,2,"{""type"":""Point"",""coordinates"":[-89.68092145359776,43.9451222381125]}"
124,2,"{""type"":""Point"",""coordinates"":[-90.94092791708579,44.049260960800105]}"
125,2,"{""type"":""Point"",""coordinates"":[-96.04190157339286,43.7836766307008]}"
126,2,"{""type"":""Point"",""coordinates"":[-98.08531960573889,43.42691477374344]}"
127,2,"{""type"":""Point"",""coordinates"":[-95.76833792784112,32.646413785019156]}"
128,2,"{""type"":""Point"",""coordinates"":[-95.08536935564136,32.64072704866386]}"
129,2,"{""type"":""Point"",""coordinates"":[-94.90977910349355,32.74925622483082]}"
130,2,"{""type"":""Point"",""coordinates"":[-94.25164626111005,32.902145909935165]}"
131,2,"{""type"":""Point"",""coordinates"":[-92.84964445490635,33.04038881188418]}"
132,2,"{""type"":""Point"",""coordinates"":[-92.32159192490762,33.387894845170095]}"
133,2,"{""type"":""Point"",""coordinates"":[-84.35667994705402,36.664401213555095]}"
134,2,"{""type"":""Point"",""coordinates"":[-83.09129737323819,36.72299373998992]}"
135,2,"{""type"":""Point"",""coordinates"":[-82.30102163557459,36.139370079488316]}"
136,2,"{""type"":""Point"",""coordinates"":[-85.00788717697736,37.53408885592171]}"
137,2,"{""type"":""Point"",""coordinates"":[-83.15161816079784,37.607418338507195]}"
138,2,"{""type"":""Point"",""coordinates"":[-81.06355277594533,38.40496426782551]}"
139,2,"{""type"":""Point"",""coordinates"":[-81.01263006398167,37.0124732936301]}"
140,2,"{""type"":""Point"",""coordinates"":[-85.92235087026387,39.529045186520854]}"
141,2,"{""type"":""Point"",""coordinates"":[-90.87669518948829,44.77818098227899]}"
142,2,"{""type"":""Point"",""coordinates"":[-90.55474116848066,45.35753061785485]}"
143,2,"{""type"":""Point"",""coordinates"":[-90.28034325371856,43.093948904386615]}"
144,2,"{""type"":""Point"",""coordinates"":[-90.58853340519998,43.51685330402585]}"
145,2,"{""type"":""Point"",""coordinates"":[-89.74203948538256,42.49024597731097]}"
146,2,"{""type"":""Point"",""coordinates"":[-90.2740468099559,41.086427940384894]}"
147,2,"{""type"":""Point"",""coordinates"":[-90.70670900889837,40.34941473672522]}"
148,2,"{""type"":""Point"",""coordinates"":[-86.29445346539285,38.61152218965088]}"
149,2,"{""type"":""Point"",""coordinates"":[-82.70915908220353,39.336656324094804]}"
150,2,"{""type"":""Point"",""coordinates"":[-84.2263263420134,34.59589562116992]}"
151,2,"{""type"":""Point"",""coordinates"":[-84.96938079998817,33.820825349101206]}"
152,2,"{""type"":""Point"",""coordinates"":[-84.5122386732008,32.73531187226458]}"
153,2,"{""type"":""Point"",""coordinates"":[-82.75035573778092,32.21463653161442]}"
154,2,"{""type"":""Point"",""coordinates"":[-95.05760901232426,38.16154167148301]}"
155,2,"{""type"":""Point"",""coordinates"":[-98.5434942477826,39.22636440218331]}"
156,2,"{""type"":""Point"",""coordinates"":[-98.70369142264212,37.03225782082955]}"
157,2,"{""type"":""Point"",""coordinates"":[-98.82726848645808,34.330992299135296]}"
158,2,"{""type"":""Point"",""coordinates"":[-93.67465179165914,35.86455027499317]}"
159,2,"{""type"":""Point"",""coordinates"":[-95.29942589992999,36.919954803577944]}"
160,2,"{""type"":""Point"",""coordinates"":[-92.51736567313256,37.53990539548743]}"
161,2,"{""type"":""Point"",""coordinates"":[-91.05277466461303,38.33150390794721]}"
162,2,"{""type"":""Point"",""coordinates"":[-80.57605569917818,40.002235712911215]}"
163,2,"{""type"":""Point"",""coordinates"":[-82.01602672756411,39.745620103817586]}"
164,2,"{""type"":""Point"",""coordinates"":[-80.94772313331772,40.26215003828298]}"
165,2,"{""type"":""Point"",""coordinates"":[-81.08648740275713,40.53183562305095]}"
166,2,"{""type"":""Point"",""coordinates"":[-92.4868163557857,42.024609442954564]}"
167,2,"{""type"":""Point"",""coordinates"":[-97.52364041862552,40.473190392031576]}"
168,2,"{""type"":""Point"",""coordinates"":[-88.53375083323768,32.048981563341734]}"
169,2,"{""type"":""Point"",""coordinates"":[-93.4212781870633,40.365235943392385]}"
170,2,"{""type"":""Point"",""coordinates"":[-94.57247661575659,37.31316016594717]}"
171,2,"{""type"":""Point"",""coordinates"":[-88.22130062301254,38.574645600038515]}"
172,2,"{""type"":""Point"",""coordinates"":[-83.38883683454891,35.248368816454935]}"
173,2,"{""type"":""Point"",""coordinates"":[-82.8395204282989,35.85616857459259]}"
174,2,"{""type"":""Point"",""coordinates"":[-84.02737858266381,42.418579016688405]}"
175,2,"{""type"":""Point"",""coordinates"":[-84.01364567250756,42.38765007343731]}"
176,2,"{""type"":""Point"",""coordinates"":[-82.02118082985407,31.315655079766263]}"
